Name,IrishTune.info ID,TheSession URL,Type,Tune Archive URL
John Blessings's,300,https://thesession.org/tunes/4620,Reel,
McDonagh's,301,https://thesession.org/tunes/1963,Reel,
Charlie Mulvihill's,305,https://thesession.org/tunes/2301,Reel,
Cock Of The North,307,https://thesession.org/tunes/1218,Jig,
Aggie Whyte's Chattering Magpies,308,https://thesession.org/tunes/1045,Reel,
"Chicago, The",310,https://thesession.org/tunes/840,Reel,
Chief O'Neill's Favorite,312,https://thesession.org/tunes/13,Hornpipe,https://tunearch.org/wiki/Chief_O%27Neill%27s_Favorite
An Phis Fliuch,316,https://thesession.org/tunes/879,Slip Jig,
Christmas Eve,321,https://thesession.org/tunes/440,Reel,
Christy Barry's,322,https://thesession.org/tunes/843,Jig,
Cliffs Of Moher,338,https://thesession.org/tunes/12,Jig,https://tunearch.org/wiki/Cliffs_of_Moher_(The)
"Clog, The",340,https://thesession.org/tunes/2359,Slide,
I Will If I Can,342,https://thesession.org/tunes/1248,Jig,
"Cloone, The",343,https://thesession.org/tunes/1644,Reel,
"Tar Road To Sligo, The",346,https://thesession.org/tunes/151,Jig,https://tunearch.org/wiki/Coach_Road_to_Sligo_(2)_(The)
"Coalminer, The",348,https://thesession.org/tunes/1617,Reel,
Dan The Cobbler,349,https://thesession.org/tunes/1911,Jig,
"Cocktail, The",350,https://thesession.org/tunes/1670,Reel,
Coleman's Cross,353,https://thesession.org/tunes/1706,Jig,
Promenade,356,https://thesession.org/tunes/409,Slip Jig,
"Coleraine, The",357,https://thesession.org/tunes/17,Jig,
College Groves,358,https://thesession.org/tunes/1272,Reel,
Colonel Fraser's,360,https://thesession.org/tunes/1209,Reel,https://tunearch.org/wiki/Colonel_Fraser
Comb Your Hair And Curl It,363,https://thesession.org/tunes/1030,Hop Jig,
Come West Along The Road,364,https://thesession.org/tunes/474,Reel,
"Congress, The",376,https://thesession.org/tunes/208,Reel,https://tunearch.org/wiki/Congress_Reel_(The)
"Connaughtman’s Rambles, The",378,https://thesession.org/tunes/19,Jig,
"Cook In The Kitchen, The",387,https://thesession.org/tunes/808,Jig,https://tunearch.org/wiki/Cook_in_the_Kitchen_(1)_(The)
Cooley's,391,https://thesession.org/tunes/1,Reel,
"Copperplate, The",394,https://thesession.org/tunes/887,Reel,https://tunearch.org/wiki/Copperplate_(1)_(The)
"Corner House, The",396,https://thesession.org/tunes/479,Reel,
Corney Is Coming,397,https://thesession.org/tunes/943,Reel,
Coen's Memories,399,https://thesession.org/tunes/558,Reel,
Sarsfield's,404,https://thesession.org/tunes/1430,Jig,
Cregg's Pipes,406,https://thesession.org/tunes/605,Reel,
Up Sligo,409,https://thesession.org/tunes/537,Jig,
Crested Hens,410,https://thesession.org/tunes/562,Waltz,
Crock Of Gold,413,https://thesession.org/tunes/433,Reel,
Cronin's,414,https://thesession.org/tunes/478,Hornpipe,
"Crooked Road To Dublin, The",416,https://thesession.org/tunes/227,Reel,
Bobby Casey's,420,https://thesession.org/tunes/270,Reel,
Crowley's #1,423,https://thesession.org/tunes/759,Reel,
Crowley's #2,424,https://thesession.org/tunes/1180,Reel,
"Cuckoo, The",427,https://thesession.org/tunes/573,Hornpipe,
"Cuckoo's Nest, The",429,https://thesession.org/tunes/2395,Hornpipe,
"Cuil Aodha Slide, The",432,https://thesession.org/tunes/14,Slide,
Cuilinn Ui Chaoimh,434,https://thesession.org/tunes/469,Jig,
"Cup Of Tea, The",436,https://thesession.org/tunes/20,Reel,
"Curlews, The",438,https://thesession.org/tunes/174,Reel,
Galway Belle,443,https://thesession.org/tunes/679,Polka,
"Dairy Maid, The",445,https://thesession.org/tunes/1946,Reel,
Michael’s Favorite,448,https://thesession.org/tunes/7531,Polka,
Larry O'Gaffe's,460,https://thesession.org/tunes/498,Jig,
"Dark Girl Dressed In Blue, The",464,https://thesession.org/tunes/1534,Polka,
Four Mile Stone,470,https://thesession.org/tunes/989,Reel,
"Dawn, The",474,https://thesession.org/tunes/167,Reel,
Dawning Of The Day,475,https://thesession.org/tunes/1441,March,
Sonny Murray's,482,https://thesession.org/tunes/309,Hornpipe,
If I Had A Wife,486,https://thesession.org/tunes/7897,Slide,
Dennis Murphy's Polka,487,https://thesession.org/tunes/357,Polka,
Denis Murphy's,488,https://thesession.org/tunes/159,Slide,
"Lurgadan, The",491,https://thesession.org/tunes/1851,Jig,
Up And About In The Morning,497,https://thesession.org/tunes/3145,Jig,
Devaney's Goat,499,https://thesession.org/tunes/2881,Reel,
Dever The Dancer,500,https://thesession.org/tunes/148,Slip Jig,
Dick Gossip,505,https://thesession.org/tunes/408,Reel,https://tunearch.org/wiki/Dick_Gossip%27s
Dinkey's,512,https://thesession.org/tunes/24,Reel,
"Dionne Reel, The",515,https://thesession.org/tunes/1364,Reel,
"Diplodocus, The",516,https://thesession.org/tunes/620,Jig,
Dr. Gilbert's,521,https://thesession.org/tunes/129,Reel,
Doctor O'Neill,523,https://thesession.org/tunes/1304,Jig,
"Doon, The",533,https://thesession.org/tunes/438,Reel,https://tunearch.org/wiki/Doon_Reel_(6)_(The)
"Dooney Rock, The",534,https://thesession.org/tunes/5477,Jig,
Dougie MacDonald's,535,https://thesession.org/tunes/4713,Reel,
Dowd's #9,537,https://thesession.org/tunes/761,Reel,
